,person_id,error,activity_type
0,170313518,Cannot find person in your CRM,email
1,170307550,Cannot find person in your CRM,email
2,39497236,INVALID_CROSS_REFERENCE_KEY: invalid cross reference id,phone
3,39497236,INVALID_CROSS_REFERENCE_KEY: invalid cross reference id,
4,34853900,Not connected to your CRM,email
5,105564606,Not connected to your CRM,email
6,105564606,Not connected to your CRM,email
7,105564606,Not connected to your CRM,email
8,105564606,Not connected to your CRM,email
9,146212343,Cannot find person in your CRM,email
10,55191203,Cannot find person in your CRM,phone
11,55191203,Cannot find person in your CRM,phone
12,55191202,Cannot find person in your CRM,phone
13,98013482,Not connected to your CRM,email
14,98013482,Not connected to your CRM,email
15,98013482,Not connected to your CRM,email
16,172838984,Cannot find person in your CRM,meeting_event
17,170307550,Cannot find person in your CRM,email
18,170311605,Cannot find person in your CRM,email
19,170311605,Cannot find person in your CRM,email
20,61693295,Not connected to your CRM,email
21,170313518,Cannot find person in your CRM,email
22,170315289,Cannot find person in your CRM,email
23,170314900,Cannot find person in your CRM,email
24,170314603,Cannot find person in your CRM,email
25,170313989,Cannot find person in your CRM,email
26,170313320,Cannot find person in your CRM,email
27,170312682,Cannot find person in your CRM,email
28,170311297,Cannot find person in your CRM,email
29,170309416,Cannot find person in your CRM,email
30,170309059,Cannot find person in your CRM,email
31,170308257,Cannot find person in your CRM,email
32,170306908,Cannot find person in your CRM,email
33,140474578,Cannot find person in your CRM,phone
34,146212343,Cannot find person in your CRM,phone
35,146212343,Cannot find person in your CRM,phone
36,144834896,Cannot find person in your CRM,phone
37,39500652,insufficient access rights on cross-reference id: 0034K000004Jpks,meeting_invitee
38,39500652,insufficient access rights on cross-reference id: 0034K000004Jpks,meeting_invitee
39,140476940,Cannot find person in your CRM,phone
40,37332787,INVALID_CROSS_REFERENCE_KEY: invalid cross reference id,phone
41,146210113,Cannot find person in your CRM,email
42,146212343,Cannot find person in your CRM,email
43,39497236,INVALID_CROSS_REFERENCE_KEY: invalid cross reference id,email
44,39497236,INVALID_CROSS_REFERENCE_KEY: invalid cross reference id,phone
45,39497236,INVALID_CROSS_REFERENCE_KEY: invalid cross reference id,phone
46,97878465,Not connected to your CRM,email
47,97878465,Not connected to your CRM,email
48,97878465,Not connected to your CRM,email
49,97878465,Not connected to your CRM,email
50,97878465,Not connected to your CRM,email
51,97878465,Not connected to your CRM,email
52,97878465,Not connected to your CRM,email
